epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
59,37637.6,0.55116,0.78393,0.30882,0.90429,0,0.9971,0.99713,0.995,0.95685,0.9971,0.99713,0.995,0.93702,0.29913,0.4533,0.15837,0.8068,0,0.0241994,0.00806647,0.0241994,0.00806647,0.0241994,0.00806647,0.0241994,0.00806647
60,38196.3,0.55255,0.79637,0.31279,0.90444,0,0.99855,0.99799,0.995,0.9579,0.99855,0.99799,0.995,0.93752,0.29489,0.449,0.15684,0.80634,0,0.0240123,0.0080041,0.0240123,0.0080041,0.0240123,0.0080041,0.0240123,0.0080041
61,38754.5,0.54973,0.78472,0.30887,0.90448,0,0.99879,0.99758,0.995,0.95963,0.99879,0.99758,0.995,0.93964,0.29355,0.44536,0.1549,0.80527,0,0.023823,0.00794099,0.023823,0.00794099,0.023823,0.00794099,0.023823,0.00794099
62,39312.7,0.53764,0.77403,0.30826,0.89704,0,0.99816,0.99806,0.995,0.9592,0.99816,0.99806,0.995,0.93812,0.2915,0.44143,0.15415,0.80468,0,0.0236315,0.00787715,0.0236315,0.00787715,0.0236315,0.00787715,0.0236315,0.00787715
63,39870.6,0.53563,0.76606,0.30336,0.89767,0,0.99869,0.99806,0.995,0.96062,0.99869,0.99806,0.995,0.94023,0.28786,0.43798,0.15275,0.8033,0,0.0234378,0.00781261,0.0234378,0.00781261,0.0234378,0.00781261,0.0234378,0.00781261
64,40429.1,0.5299,0.75942,0.3007,0.89524,0,0.99814,0.99806,0.995,0.9602,0.99814,0.99806,0.995,0.94026,0.28755,0.43686,0.15351,0.80328,0,0.0232421,0.00774737,0.0232421,0.00774737,0.0232421,0.00774737,0.0232421,0.00774737
65,40987.7,0.52684,0.76028,0.30036,0.8962,0,0.99855,0.99779,0.995,0.96111,0.99855,0.99779,0.995,0.94207,0.28783,0.43502,0.15222,0.80261,0,0.0230444,0.00768145,0.0230444,0.00768145,0.0230444,0.00768145,0.0230444,0.00768145
66,41569,0.52892,0.76266,0.30013,0.89692,0,0.99852,0.99758,0.995,0.96113,0.99852,0.99758,0.995,0.94162,0.2867,0.43266,0.15101,0.80141,0,0.0228446,0.00761488,0.0228446,0.00761488,0.0228446,0.00761488,0.0228446,0.00761488
67,42127.5,0.52252,0.7528,0.29898,0.89191,0,0.99855,0.99775,0.995,0.96092,0.99855,0.99775,0.995,0.94336,0.28571,0.43086,0.15034,0.80076,0,0.022643,0.00754766,0.022643,0.00754766,0.022643,0.00754766,0.022643,0.00754766
68,42685.1,0.5205,0.74249,0.29561,0.89214,0,0.99855,0.99802,0.995,0.96176,0.99952,0.99755,0.995,0.94224,0.28496,0.42878,0.15009,0.80075,0,0.0224394,0.00747982,0.0224394,0.00747982,0.0224394,0.00747982,0.0224394,0.00747982
69,43243.2,0.51704,0.73792,0.29566,0.88986,0,0.99907,0.99806,0.995,0.96272,0.99907,0.99806,0.995,0.94277,0.28217,0.42511,0.15101,0.80001,0,0.0222341,0.00741136,0.0222341,0.00741136,0.0222341,0.00741136,0.0222341,0.00741136
70,43810.4,0.51608,0.736,0.29291,0.88797,0,0.99952,0.99842,0.995,0.9628,0.99952,0.99842,0.995,0.9442,0.28077,0.42256,0.14876,0.79979,0,0.0220269,0.00734231,0.0220269,0.00734231,0.0220269,0.00734231,0.0220269,0.00734231
