epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
126,32477.9,0.59046,0.28861,0.89778,0.99951,0.99509,0.995,0.90306,0.45675,0.21355,0.83408,7.63174e-05,7.63174e-05,7.63174e-05
127,32622.6,0.58609,0.28517,0.89465,0.99951,0.99507,0.995,0.9037,0.45585,0.21313,0.8338,7.12282e-05,7.12282e-05,7.12282e-05
128,32766.6,0.58314,0.28507,0.89528,0.99951,0.99508,0.995,0.90387,0.45497,0.21242,0.83349,6.63292e-05,6.63292e-05,6.63292e-05
129,32910.9,0.59039,0.28719,0.8993,0.99951,0.99502,0.995,0.90503,0.45415,0.21248,0.83314,6.16227e-05,6.16227e-05,6.16227e-05
130,33055.5,0.5778,0.28043,0.89471,0.99951,0.99504,0.995,0.90501,0.4532,0.21202,0.83286,5.71106e-05,5.71106e-05,5.71106e-05
131,33199.8,0.57487,0.28122,0.89074,0.99951,0.99507,0.995,0.90513,0.45226,0.21169,0.83253,5.2795e-05,5.2795e-05,5.2795e-05
132,33344.2,0.5759,0.28318,0.89181,0.99951,0.99504,0.995,0.90536,0.45134,0.21166,0.83219,4.86777e-05,4.86777e-05,4.86777e-05
133,33488.6,0.57354,0.28136,0.89059,0.99951,0.995,0.995,0.9055,0.45063,0.21128,0.83199,4.47606e-05,4.47606e-05,4.47606e-05
134,33632.7,0.57887,0.28095,0.89467,0.99951,0.995,0.995,0.90628,0.44984,0.21087,0.83172,4.10454e-05,4.10454e-05,4.10454e-05
135,33777,0.57683,0.28218,0.89375,0.99951,0.99501,0.995,0.90623,0.44899,0.21055,0.83143,3.75337e-05,3.75337e-05,3.75337e-05
136,33921.2,0.57309,0.27828,0.89373,0.99951,0.99494,0.995,0.90637,0.44817,0.20999,0.83111,3.4227e-05,3.4227e-05,3.4227e-05
137,34065.7,0.57299,0.28018,0.89265,0.99951,0.99493,0.995,0.9066,0.44738,0.20979,0.83082,3.11268e-05,3.11268e-05,3.11268e-05
138,34210.1,0.5706,0.27816,0.88974,0.9994,0.99516,0.995,0.90729,0.44639,0.20942,0.83053,2.82345e-05,2.82345e-05,2.82345e-05
139,34354.5,0.57017,0.27939,0.89147,0.99938,0.99516,0.995,0.90727,0.44576,0.20926,0.83031,2.55513e-05,2.55513e-05,2.55513e-05
140,34498.9,0.57198,0.27989,0.89062,0.99939,0.99516,0.995,0.90851,0.44509,0.20897,0.83005,2.30784e-05,2.30784e-05,2.30784e-05
141,34643.9,0.47046,0.2177,0.85195,0.99951,0.99528,0.995,0.90758,0.44424,0.20907,0.82982,2.08169e-05,2.08169e-05,2.08169e-05
142,34788.1,0.4522,0.21289,0.84491,0.99951,0.99525,0.995,0.9084,0.44358,0.20891,0.82963,1.87678e-05,1.87678e-05,1.87678e-05
143,34932.2,0.44577,0.21226,0.84235,0.99951,0.99519,0.995,0.90829,0.44315,0.20875,0.82945,1.6932e-05,1.6932e-05,1.6932e-05
144,35075.9,0.43565,0.20694,0.84027,0.9997,0.99516,0.995,0.9089,0.44272,0.20867,0.82928,1.53102e-05,1.53102e-05,1.53102e-05
145,35220.3,0.4378,0.2068,0.84194,0.99983,0.99516,0.995,0.90986,0.44237,0.20836,0.82911,1.39032e-05,1.39032e-05,1.39032e-05
146,35364.4,0.43552,0.20754,0.83911,0.99985,0.99516,0.995,0.90961,0.44189,0.20846,0.82891,1.27117e-05,1.27117e-05,1.27117e-05
147,35508.6,0.42745,0.20532,0.83721,1,0.99529,0.995,0.90996,0.44151,0.20836,0.82875,1.1736e-05,1.1736e-05,1.1736e-05
148,35652.7,0.43032,0.20503,0.83787,1,0.99527,0.995,0.91089,0.44088,0.20811,0.82863,1.09768e-05,1.09768e-05,1.09768e-05
149,35797.2,0.42711,0.20435,0.83688,1,0.99529,0.995,0.91122,0.4405,0.20793,0.82847,1.04342e-05,1.04342e-05,1.04342e-05
150,35941.6,0.43428,0.20617,0.84266,1,0.99531,0.995,0.91094,0.44009,0.2081,0.82827,1.01086e-05,1.01086e-05,1.01086e-05
